ano,espvida,fectot,mort1,sobre60,e_anosestudo,gini,ppobcri,pren20ricos,pren80,rdpc,rdpc1,rdpc10,rmpob,rpob,theil,emp,theiltrab,t_banagua,t_lixo,t_luz,t_fora6a14,t_fundin_todos,t_m10a14cf,t_mulchefefif014,homemtot,mulhertot,pesorur,pesourb,i_escolaridade,idhm,idhm_l
1991,58.79,7.42,68.95,62.14,6.1,0.7,80.36,72.46,27.54,229.61,5.14,1221.89,42.87,71.2,0.88,,,44.79,22.02,60.14,59.24,22.52,0.93,19.06,6984,6478,5074,8388,122,355,563
1991,60.91,7.19,59.59,65.73,6.94,0.58,96.13,60.99,39.01,104.7,9.37,478.95,53.57,68.19,0.49,,,16.84,2.29,57.78,57.63,26.35,1.02,24.4,10450,9761,6768,13442,112,295,599
1991,60.95,7.0,59.44,65.79,1.64,0.53,89.42,58.01,41.99,106.65,10.77,412.46,53.08,68.79,0.38,,,1.27,0.0,54.8,89.41,26.97,0.0,60.63,5598,5383,6335,4646,0.09,263,599
1991,59.56,7.81,65.43,63.44,4.11,0.47,92.64,51.35,48.65,133.72,20.23,475.2,72.79,94.8,0.29,,,15.44,0.4,37.41,61.1,25.75,0.37,4.96,8462,7983,10672,5773,54,243,576
1991,59.56,6.19,65.43,63.44,5.24,0.48,94.98,53.12,46.88,109.08,23.07,395.24,62.51,81.01,0.38,,,0.59,0.0,37.17,46.26,40.73,4.33,11.64,2870,2718,2753,2835,43,266,576
1991,65.15,6.54,43.21,72.91,4.57,0.56,88.15,61.03,38.97,163.4,25.12,714.47,62.1,85.72,0.53,,,23.44,5.47,49.19,57.0,31.04,0.0,18.9,20301,18491,20092,18700,92,296,669
1991,57.34,6.78,75.82,59.7,6.46,0.65,93.49,67.26,32.74,80.34,0.77,419.27,40.68,46.58,0.55,,,3.64,0.0,38.47,70.12,23.02,0.54,19.65,4018,3822,4286,3554,78,257,539
1991,63.41,5.96,49.58,69.96,4.89,0.47,78.88,52.29,47.71,204.44,42.85,708.3,79.18,112.02,0.37,,,5.25,0.0,58.34,40.22,29.37,0.0,15.97,10223,8900,12720,6403,0.1,323,0.64
1991,65.04,4.48,43.6,72.72,6.4,0.55,81.98,60.43,39.57,218.63,34.78,961.96,72.85,105.31,0.52,,,32.74,53.33,65.81,36.51,22.95,0.19,19.46,29824,28933,21377,37380,197,408,667
1991,61.64,7.0,56.58,66.96,3.34,0.47,88.24,51.99,48.01,165.89,31.92,581.9,65.71,103.04,0.37,,,0.92,3.26,38.06,75.41,28.88,0.0,12.68,4875,4210,7547,1538,11,0.21,611
